id,User1,User2,User3,User4,User5
2,1454,243,1585,1220,1785
3,447,1977,1289,426,60
4,1587,1472,1817,557,1154
5,1987,1782,467,1405,848
6,188,1773,1334,1013,1014
7,1666,1457,339,1808,46
8,1394,538,252,1033,1881
9,1385,1895,512,1034,1398
10,1566,1390,1404,1441,1416
11,326,804,25,1652,162
12,614,1759,1107,189,1176
13,1773,188,1334,1013,1014
14,642,563,303,1238,460
15,1689,1404,848,1709,5
16,911,1080,1489,859,1776
17,578,749,1346,1198,1001
18,640,1264,1639,308,1271
20,1853,1557,460,105,1249
21,1821,1120,690,1659,1988
22,86,903,1442,587,1176
23,737,2077,1787,856,32
24,1220,1838,1120,2039,1766
25,326,713,11,1222,1652
26,1809,1051,595,1623,1944
27,979,188,1773,1334,1013
28,290,188,1773,1334,1013
29,532,1920,578,1568,1773
30,1189,417,1272,1675,1773
31,954,248,1164,534,1010
32,398,1506,1520,1280,23
33,282,469,519,1923,362
34,1974,1441,10,315,1545
35,188,1773,1334,1013,1014
36,525,1743,2041,1020,362
37,176,1019,1012,860,1626
38,1797,431,1686,688,188
39,307,1621,548,935,285
40,257,566,951,1551,935
41,595,377,51,295,1860
42,1647,458,1778,1797,543
43,1504,1233,2,283,1587
44,1815,623,61,891,1138
45,1056,150,253,830,589
46,815,1780,1810,684,305
47,1272,399,1966,1457,1809
48,963,413,1308,558,985
49,1661,506,409,1855,1075
50,769,236,475,465,1277
51,877,616,491,295,1396
52,1593,2010,261,1113,924
53,795,11,240,745,1234
54,885,1850,1578,1298,502
55,382,1969,2032,1829,481
56,1573,2084,346,2042,1664
57,920,906,1107,1920,101
58,1197,375,875,1647,1014
59,1012,455,446,539,1247
60,805,1638,1747,1085,1977
61,1006,1302,465,1424,1815
62,1728,38,132,259,688
63,869,1010,188,1773,1334
64,1869,1641,1104,1761,460
65,545,1613,2065,1151,1921
66,699,683,480,1038,359
68,417,1532,1895,2087,1120
69,168,1382,1975,1395,842
70,1574,196,1676,670,1491
71,1159,1093,1350,519,212
72,1773,188,1334,1013,1014
73,1202,1089,1029,1038,668
74,698,1833,1022,1137,1431
75,1388,1046,1278,1447,305
76,110,1902,1730,621,146
77,2008,1702,289,171,643
78,255,936,837,935,1557
79,1294,486,414,985,1308
80,22,1353,752,261,1501
81,1912,1996,957,213,573
82,1289,220,97,1992,989
83,443,1976,1680,1386,1342
84,631,800,402,1592,1968
85,1093,1775,1040,491,849
86,22,1296,279,587,1176
87,72,2071,1773,188,1334
88,188,1773,1334,1013,1014
89,545,2041,1547,289,521
90,1588,562,1007,175,163
91,846,454,1029,73,1309
92,1212,188,1773,1334,1013
94,625,511,1441,315,1795
95,781,682,1388,150,149
96,1773,188,1334,1013,1014
97,1112,82,1422,582,1123
98,1988,72,1773,188,1334
99,1797,1566,38,1765,1198
100,596,436,1029,1797,1407
101,844,1111,1743,1984,1730
102,1199,1404,1449,1405,534
103,1669,1647,1773,188,1334
104,385,1682,946,1272,451
105,936,1557,1125,1284,255
106,1118,1491,786,105,1614
107,1986,595,265,1968,738
108,2100,449,1228,1324,798
109,979,1968,1040,2020,1174
110,227,674,146,76,1572
111,1228,1204,860,1995,398
112,188,1773,1334,1013,1014
113,595,1353,519,587,1986
114,402,1627,1010,188,1773
115,188,1773,1334,1013,1014
116,439,1969,855,1382,822
117,1466,1542,699,614,1104
118,1619,512,839,914,469
119,887,2015,978,377,178
120,188,1773,1334,1013,1014
121,814,1283,188,1773,1334
122,228,188,1773,1334,1013
123,198,716,752,435,1682
124,1041,395,2042,371,587
125,1594,793,196,298,1707
126,415,1820,1828,1423,862
127,1040,1978,939,2077,1613
128,1508,1832,1585,132,38
129,130,1124,1646,1795,1033
130,129,1120,72,816,1773
131,1697,1204,1474,1991,37
132,770,1776,985,38,1189
133,781,1564,1189,1014,1773
134,1305,2038,882,305,1388
135,1023,1026,557,987,1540
136,632,815,700,339,1808
137,632,286,1690,690,1742
139,1157,1176,308,616,585
140,1797,1084,10,1805,1337
141,188,1773,1334,1013,1014
142,1900,864,997,761,718
143,2052,1449,835,788,1223
144,816,1773,188,1334,1013
